postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason
0101211,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တီယန်ဇွပ် ကျေးရွာအုပ်စု,Ti Yang Zug Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101212,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တာလောကြီး ကျေးရွာအုပ်စု,Ta Law Gyi Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101213,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Thit Village Tract,village_tract,6610,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101214,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Haung Village Tract,village_tract,6610,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101215,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဟိုကပ် ကျေးရွာအုပ်စု,Ho Kat Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101216,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စံကင်း ကျေးရွာအုပ်စု,San Kin Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101217,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အကြဲ ကျေးရွာအုပ်စု,Ah Kye Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101218,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြင်သာ ကျေးရွာအုပ်စု,Myin Thar Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101219,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရေနားပင်လုံ ကျေးရွာအုပ်စု,Yae Nar Pin Lon Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101220,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပင်တော် ကျေးရွာအုပ်စု,Pin Taw Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101221,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တောပင်လုံ ကျေးရွာအုပ်စု,Taw Pin Lon Village Tract,village_tract,6610,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101222,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မံကင်း ကျေးရွာအုပ်စု,Man Kin Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101223,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဝဲကြီး ကျေးရွာအုပ်စု,Wea Gyi Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101224,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်ပွဲ ကျေးရွာအုပ်စု,Nawng Pwe Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101225,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နယ်ခြား ကျေးရွာအုပ်စု,Nei Char Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101226,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မံဖွား ကျေးရွာအုပ်စု,Man Hpwar Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101227,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ညောင်ပင်သာ ကျေးရွာအုပ်စု,Nyaung Pin Thar Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101228,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဝိုင်းလုံ ကျေးရွာအုပ်စု,Waing Lon Village Tract,village_tract,6610,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101229,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တာဟိုးနား ကျေးရွာအုပ်စု,Tar Hoe Nar Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102001,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၁) ရပ်ကွက်,No (1) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102002,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၂) ရပ်ကွက်,No (2) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102003,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၃) ရပ်ကွက်,No (3) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102004,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၄) ရပ်ကွက်,No (4) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102200,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဂျွန်ဂါး ကျေးရွာအုပ်စု,In Jun Ga Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102201,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဂရီဘွမ် ကျေးရွာအုပ်စု,Shagri Bum Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102202,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မိုင်ရွန်း ကျေးရွာအုပ်စု,Mai Rawn Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102203,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မထွမ် ကျေးရွာအုပ်စု,Ma Htum Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102204,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆမ်ဖွမ်ဂါး ကျေးရွာအုပ်စု,Sam Hpum Ga Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102205,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဒုံးယန် ကျေးရွာအုပ်စု,In Dung Yang Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102206,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဖုန်ဂန် ကျေးရွာအုပ်စု,Hpon Gan Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102207,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆွပ်မာတူ ကျေးရွာအုပ်စု,Sut Mar Tu Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102208,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆလော်ဒိန်ဆာ ကျေးရွာအုပ်စု,Sa Law Ding Sar Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102209,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဒန်လော့ခွမ် ကျေးရွာအုပ်စု,Sha Dan Lawt Khum Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102210,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်မန်ခဂျန် ကျေးရွာအုပ်စု,In Man Hka Jang Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102211,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဖျင်ဂါး ကျေးရွာအုပ်စု,In Hpyin Ga Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102212,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မိုင်တောင် ကျေးရွာအုပ်စု,Mai Taung Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102213,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဂရီကထောင် ကျေးရွာအုပ်စု,Sha Ga Ri Ka Htaung Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102214,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှင်ကွန် (ကျိန်ထောင်ဂါး) ကျေးရွာအုပ်စု,Shin Kun (Kying Htaung Ga) Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102215,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆွမ်ဒွါဂါး ကျေးရွာအုပ်စု,Tsum Dwar Ga Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102216,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ပင်လောင် ကျေးရွာအုပ်စု,Pin Laung Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102217,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ထောက်ဂါး ကျေးရွာအုပ်စု,In Htauk Ga Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102218,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ကရောင်ထိန်ရော့ ကျေးရွာအုပ်စု,Ka Yawng Htein Rawt Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102219,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဒန်ပုန်ဝါ ကျေးရွာအုပ်စု,Sha Dan Pong War Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102220,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်တျိန်ခရမ် ကျေးရွာအုပ်စု,In Trein Hka Yam Village Tract,village_tract,6668,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102221,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ခန်ဒေါက်ယန် ကျေးရွာအုပ်စု,Hkan Dauk Yang Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102222,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဂျိန်မာယန် ကျေးရွာအုပ်စု,Jing Ma Yang Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102223,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဝိုင်းကောင် ကျေးရွာအုပ်စု,In Waing Kawng Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102224,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မြစ်ဆုံ ကျေးရွာအုပ်စု,Myit Son Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102225,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ပေါက်ချက် ကျေးရွာအုပ်စု,In Pauk Chet Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102226,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ခူဂါး ကျေးရွာအုပ်စု,In Hku Ga Village Tract,village_tract,6668,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102227,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဂျီအူးမား ကျေးရွာအုပ်စု,In Ji Au Mar Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102228,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဂကျီးထုလနန် ကျေးရွာအုပ်စု,Ka Kyee Htu La Nang Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102229,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,လဂန်အင်ဘောက်တူ ကျေးရွာအုပ်စု,La Gan In Bauk Htu Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102230,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆွမ်ဖောင်း ကျေးရွာအုပ်စု,Tsum Hpawng Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102231,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အူဂါအူဆီ ကျေးရွာအုပ်စု,Au Ga Au Si Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102232,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဂေါ့အူမား ကျေးရွာအုပ်စု,In Gawt Au Mar Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102233,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှင်ဒန်ဒိန်ဆာ ကျေးရွာအုပ်စု,Shadan Ding Sa Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102234,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ပေါမ်ဘွမ်း ကျေးရွာအုပ်စု,In Pawm Bum Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102235,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,လဇီးဂွမ်ရန်လာ ကျေးရွာအုပ်စု,La Zee Gum Yang Lar Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102236,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,လဝါ့ယန် ကျေးရွာအုပ်စု,La Wa Yang Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102237,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ကကျီးထူ ကျေးရွာအုပ်စု,Ka Kyee Htu Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102238,missing_local_area,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆလော်ဒိန်ငွတ် ကျေးရွာအုပ်စု,Sa Law Ding Ngut Village Tract,village_tract,6668,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
