postal_code,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,candidate_admin_ids,candidate_names,candidate_types,name_evidence,recommended_action,review_decision,selected_local_admin_area_id,review_note
0101211,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တီယန်ဇွပ် ကျေးရွာအုပ်စု,Ti Yang Zug Village Tract,,တီယန်ဇွပ် [Ti Yang Zug/တီယန်ဇွပ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101212,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တာလောကြီး ကျေးရွာအုပ်စု,Ta Law Gyi Village Tract,,တာလောကြီး [Ta Law Gyi/တာလောကြီး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101213,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Thit Village Tract,,ခေါင်ဖူးရွာသစ် [Hkawng Hpu Ywar Thit/ခေါင်ဖူးရွာသစ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101214,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Haung Village Tract,,ခေါင်ဖူးရွာဟောင်း [Hkawng Hpu Ywar Haung/ခေါင်ဖူးရွာဟောင်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101215,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဟိုကပ် ကျေးရွာအုပ်စု,Ho Kat Village Tract,,ဟိုကပ် [Ho Kat/ဟိုကပ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101216,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စံကင်း ကျေးရွာအုပ်စု,San Kin Village Tract,,စံကင်း [San Kin/စံကင်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101217,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အကြဲ ကျေးရွာအုပ်စု,Ah Kye Village Tract,,အကြဲ [Ah Kye/အကြဲ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101218,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြင်သာ ကျေးရွာအုပ်စု,Myin Thar Village Tract,,မြင်သာ [Myin Thar/မြင်သာ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101219,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရေနားပင်လုံ ကျေးရွာအုပ်စု,Yae Nar Pin Lon Village Tract,,ရေနားပင်လုံ [Yae Nar Pin Lon/ရေနားပင်လုံ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101220,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပင်တော် ကျေးရွာအုပ်စု,Pin Taw Village Tract,,ပင်တော် [Pin Taw/ပင်တော်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101221,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တောပင်လုံ ကျေးရွာအုပ်စု,Taw Pin Lon Village Tract,,တောပင်လုံ [Taw Pin Long/တောပင်လုံ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101222,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မံကင်း ကျေးရွာအုပ်စု,Man Kin Village Tract,,မံကင်း [Man Kin/မံကင်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101223,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဝဲကြီး ကျေးရွာအုပ်စု,Wea Gyi Village Tract,,ဝဲကြီး [Wea Gyi/ဝဲကြီး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101224,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်ပွဲ ကျေးရွာအုပ်စု,Nawng Pwe Village Tract,,နောင်ပွဲ [Nawng Pwe/နောင်ပွဲ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101225,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နယ်ခြား ကျေးရွာအုပ်စု,Nei Char Village Tract,,နယ်ခြား [Nei Char/နယ်ခြား],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101226,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မံဖွား ကျေးရွာအုပ်စု,Man Hpwar Village Tract,,မံဖွား [Man Hpwar/မံဖွား],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101227,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ညောင်ပင်သာ ကျေးရွာအုပ်စု,Nyaung Pin Thar Village Tract,,ညောင်ပင်သာ [Nyaung Pin Thar/ညောင်ပင်သာ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101228,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဝိုင်းလုံ ကျေးရွာအုပ်စု,Waing Lon Village Tract,,ဝိုင်းလုံ [Waing Long/ဝိုင်းလုံ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101229,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တာဟိုးနား ကျေးရွာအုပ်စု,Tar Hoe Nar Village Tract,,တာဟိုးနား [Tar Hoe Nar/တာဟိုးနား],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102001,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၁) ရပ်ကွက်,No (1) Quarter,,,,no_exact_or_fuzzy,missing_or_non_inventory,,,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102002,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၂) ရပ်ကွက်,No (2) Quarter,,,,no_exact_or_fuzzy,missing_or_non_inventory,,,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102003,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၃) ရပ်ကွက်,No (3) Quarter,,,,no_exact_or_fuzzy,missing_or_non_inventory,,,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102004,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၄) ရပ်ကွက်,No (4) Quarter,,,,no_exact_or_fuzzy,missing_or_non_inventory,,,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102200,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဂျွန်ဂါး ကျေးရွာအုပ်စု,In Jun Ga Village Tract,,အင်ဂျွန်ဂါး [In Jun Gar/အင်ဂျွန်ဂါး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102201,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဂရီဘွမ် ကျေးရွာအုပ်စု,Shagri Bum Village Tract,,ရှဂရီဘွမ် [Shagri Bum/ရှဂရီဘွမ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102202,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မိုင်ရွန်း ကျေးရွာအုပ်စု,Mai Rawn Village Tract,,မိုင်ရွန်း [Mai Rawn/မိုင်ရွန်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102203,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မထွမ် ကျေးရွာအုပ်စု,Ma Htum Village Tract,,မထွမ် [Ma Htum/မထွမ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102204,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆမ်ဖွမ်ဂါး ကျေးရွာအုပ်စု,Sam Hpum Ga Village Tract,,ဆမ်ဖွမ်ဂါး [Sam Hpum Gar/ဆမ်ဖွမ်ဂါး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102205,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဒုံးယန် ကျေးရွာအုပ်စု,In Dung Yang Village Tract,,အင်ဒုံးယန် [In Dung Yang/အင်ဒုံးယန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102206,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဖုန်ဂန် ကျေးရွာအုပ်စု,Hpon Gan Village Tract,,ဖုန်ဂန် [Hpon Gan/ဖုန်ဂန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102207,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆွပ်မာတူ ကျေးရွာအုပ်စု,Sut Mar Tu Village Tract,,ဆွပ်မာတူ [Sut Mar Tu/ဆွပ်မာတူ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102208,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆလော်ဒိန်ဆာ ကျေးရွာအုပ်စု,Sa Law Ding Sar Village Tract,,ဆလော်ဒိန်ဆာ [Sa Law Ding Sar/ဆလော်ဒိန်ဆာ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102209,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဒန်လော့ခွမ် ကျေးရွာအုပ်စု,Sha Dan Lawt Khum Village Tract,,ရှဒန်လော့ခွမ် [Sha Dan Lawt Hkum/ရှဒန်လော့ခွမ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102210,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်မန်ခဂျန် ကျေးရွာအုပ်စု,In Man Hka Jang Village Tract,,အင်မန်ခဂျန် [In Man Hka Jang/အင်မန်ခဂျန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102211,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဖျင်ဂါး ကျေးရွာအုပ်စု,In Hpyin Ga Village Tract,,အင်ဖျင်ဂါး [In Hpyin Gar/အင်ဖျင်ဂါး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102212,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မိုင်တောင် ကျေးရွာအုပ်စု,Mai Taung Village Tract,,မိုင်တောင် [Mai Taung/မိုင်တောင်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102213,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဂရီကထောင် ကျေးရွာအုပ်စု,Sha Ga Ri Ka Htaung Village Tract,,ရှဂရီကထောင် [Sha Ga Ri Ka Htaung/ရှဂရီကထောင်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102214,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှင်ကွန် (ကျိန်ထောင်ဂါး) ကျေးရွာအုပ်စု,Shin Kun (Kying Htaung Ga) Village Tract,,ရှင်ကွန် (ကျိန်ထောင်ဂါး) [Shin Kun (Kying Htaung Ga)/ရှင်ကွန် (ကျိန်ထောင်ဂါး)],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102215,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆွမ်ဒွါဂါး ကျေးရွာအုပ်စု,Tsum Dwar Ga Village Tract,,ဆွမ်ဒွါဂါး [Tsum Dwar Gar/ဆွမ်ဒွါဂါး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102216,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ပင်လောင် ကျေးရွာအုပ်စု,Pin Laung Village Tract,,ပင်လောင် [Pin Laung/ပင်လောင်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102217,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ထောက်ဂါး ကျေးရွာအုပ်စု,In Htauk Ga Village Tract,,အင်ထောက်ဂါး [In Htauk Gar/အင်ထောက်ဂါး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102218,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ကရောင်ထိန်ရော့ ကျေးရွာအုပ်စု,Ka Yawng Htein Rawt Village Tract,,ကရောင်ထိန်ရော့ [Ka Yawng Htein Rawt/ကရောင်ထိန်ရော့],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102219,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ရှဒန်ပုန်ဝါ ကျေးရွာအုပ်စု,Sha Dan Pong War Village Tract,,ရှဒန်ပုန်ဝါ [Sha Dan Pong War/ရှဒန်ပုန်ဝါ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102220,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်တျိန်ခရမ် ကျေးရွာအုပ်စု,In Trein Hka Yam Village Tract,,,,no_exact_or_fuzzy,missing_or_non_inventory,,,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0102221,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ခန်ဒေါက်ယန် ကျေးရွာအုပ်စု,Hkan Dauk Yang Village Tract,,ခန်ဒေါက်ယန် [Hkan Dauk Yang/ခန်ဒေါက်ယန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102222,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဂျိန်မာယန် ကျေးရွာအုပ်စု,Jing Ma Yang Village Tract,,ဂျိန်မာယန် [Jing Mar Yang/ဂျိန်မာယန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102223,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဝိုင်းကောင် ကျေးရွာအုပ်စု,In Waing Kawng Village Tract,,အင်ဝိုင်းကောင် [In Waing Kawng/အင်ဝိုင်းကောင်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102224,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,မြစ်ဆုံ ကျေးရွာအုပ်စု,Myit Son Village Tract,,မြစ်ဆုံ [Myit Son/မြစ်ဆုံ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102225,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ပေါက်ချက် ကျေးရွာအုပ်စု,In Pauk Chet Village Tract,,အင်ပေါက်ချက် [In Pauk Chet/အင်ပေါက်ချက်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102226,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ခူဂါး ကျေးရွာအုပ်စု,In Hku Ga Village Tract,,အင်ခူဂါး [In Hku Gar/အင်ခူဂါး],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102227,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်ဂျီအူးမား ကျေးရွာအုပ်စု,In Ji Au Mar Village Tract,,အင်ဂျီအူးမား [In Ji Au Mar/အင်ဂျီအူးမား],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102228,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဂကျီးထုလနန် ကျေးရွာအုပ်စု,Ka Kyee Htu La Nang Village Tract,,ဂကျီးထုလနန် [Ka Kyee Htu La Nang/ဂကျီးထုလနန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102229,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,လဂန်အင်ဘောက်တူ ကျေးရွာအုပ်စု,La Gan In Bauk Htu Village Tract,,လဂန်အင်ဘောက်တူ [La Gan In Bauk Htu/လဂန်အင်ဘောက်တူ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102230,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,ဆွမ်ဖောင်း ကျေးရွာအုပ်စု,Tsum Hpawng Village Tract,,ဆွမ်ဖောင်း [Tsum Hpawng/ဆွမ်ဖောင်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0102231,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အူဂါအူဆီ ကျေးရွာအုပ်စု,Au Ga Au Si Village Tract,,အူဂါအူဆီ [Au Ga Au Si/အူဂါအူဆီ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
